date,closedPnL,volume,classification,value,leverage,leverage_delta,pnl_next,sentiment_flag
2024-07-02,2421.253116,33347.47,Neutral,51.0,0.0005963978931192321,-0.005889742171745501,1118.387284,0.0
2024-07-03,1118.387284,179600.66,Neutral,50.0,0.0032120500580272416,0.0026156521649080096,0.0,0.0
2024-07-04,0.0,430568.01,Fear,44.0,0.0077004533013939405,0.0044884032433666985,0.0,0.0
2024-07-05,0.0,272289.89,Fear,29.0,0.0048697423457178994,-0.002830710955676041,108.87217799999999,0.0
2024-07-06,108.87217799999999,2490.17,Fear,26.0,4.453325653786312e-05,-0.004825209089180036,61.428942,0.0
2024-07-07,61.428942,498.75,Fear,29.0,8.917882717701608e-06,-3.561537382016151e-05,0.0,0.0
2024-07-08,0.0,497.64,Fear,28.0,8.898031021454518e-06,-1.9851696247090225e-08,648.984412,0.0
2024-07-09,648.984412,2736.45,Fear,27.0,4.893782928717234e-05,4.0039798265717824e-05,11977.734907,0.0
2024-07-10,11977.734907,687900.21,Fear,28.0,0.012302688138326663,0.012253750309039491,1876.812082,0.0
2024-07-11,1876.812082,169887.02,Fear,29.0,0.0030383273276366287,-0.009264360810690035,1412.314654,0.0
2024-07-12,1412.314654,89582.97,Fear,25.0,0.0016021366897887909,-0.0014361906378478379,2913.617837,0.0
2024-07-13,2913.617837,139189.19,Fear,25.0,0.0024893147180827585,0.0008871780282939676,0.0,0.0
2024-07-14,0.0,84001.13,Fear,33.0,0.0015023087689060388,-0.0009870059491767196,-1.0,0.0
2024-07-15,-1.0,198344.85,Neutral,52.0,0.0035472788564756517,0.002044970087569613,0.0,0.0
2024-07-16,0.0,144000.57,Greed,65.0,0.0025753634156407065,-0.0009719154408349452,1859.269477,1.0
2024-07-17,1859.269477,626005.53,Greed,69.0,0.01119573824042503,0.008620374824784324,3803.884311,1.0
2024-07-18,3803.884311,649704.85,Greed,61.0,0.01161958662051744,0.0004238483800924099,2155.891114,1.0
2024-07-19,2155.891114,150269.42,Greed,60.0,0.0026874781057475245,-0.008932108514769915,2299.169566,1.0
2024-07-20,2299.169566,244362.21,Greed,74.0,0.004370272237388241,0.0016827941316407162,-2960.716887,1.0
2024-07-21,-2960.716887,234307.46,Greed,74.0,0.00419044895555002,-0.00017982328183822113,1517.119876,1.0
2024-07-22,1517.119876,304213.8,Greed,70.0,0.005440682673951617,0.0012502337184015977,89890.302206,1.0
2024-07-23,89890.302206,358526.54,Greed,71.0,0.006412034040462569,0.0009713513665109514,625.561479,1.0
2024-07-24,625.561479,69207.93,Greed,69.0,0.001237741099606537,-0.005174292940856032,916.7382600000001,1.0
2024-07-25,916.7382600000001,528555.31,Greed,68.0,0.009452898450648398,0.008215157351041861,2766.513113,1.0
2024-07-26,2766.513113,548587.65,Greed,68.0,0.009811165053169502,0.00035826660252110364,6400.623656,1.0
2024-07-27,6400.623656,905199.75,Greed,72.0,0.016188962429058474,0.006377797375888972,587.29903,1.0
2024-07-28,587.29903,43254.68,Greed,71.0,0.0007735825089535826,-0.015415379920104891,330.80445399999996,1.0
2024-07-29,330.80445399999996,327199.14,Greed,74.0,0.005851761942254392,0.00507817943330081,0.0,1.0
2024-07-30,0.0,36006.47,Greed,67.0,0.0006439525420570803,-0.005207809400197312,765.690884,1.0
2024-07-31,765.690884,84506.54,Greed,61.0,0.0015113477290864363,0.0008673951870293561,167.080017,1.0
2024-08-01,167.080017,227774.53,Neutral,52.0,0.0040736113501774985,0.002562263621091062,782.3681909999999,0.0
2024-08-02,782.3681909999999,396320.37,Greed,57.0,0.007087954430709546,0.0030143430805320472,464.1897,1.0
2024-08-03,464.1897,290532.86,Fear,37.0,0.005196007119668142,-0.0018919473110414042,-122672.000883,0.0
2024-08-04,-122672.000883,1207744.07,Fear,34.0,0.02159978940376324,0.016403782284095097,-13013.665169,0.0
2024-08-05,-13013.665169,420495.4,Fear,26.0,0.007520310603974663,-0.014079478799788575,267.318048,0.0
2024-08-06,267.318048,61478.38,Extreme Fear,17.0,0.0010995026503032113,-0.006420807953671452,188.789255,0.0
2024-08-07,188.789255,2492.77,Fear,29.0,4.457975600654999e-05,-0.0010549228942966613,-40.712216999999995,0.0
2024-08-08,-40.712216999999995,16299.35,Extreme Fear,20.0,0.0002915023076922645,0.0002469225516857145,18082.071276,0.0
2024-08-09,18082.071276,503204.86,Neutral,48.0,0.008999520582966386,0.008708018275274121,0.0,0.0
2024-08-10,0.0,11339.29,Fear,40.0,0.00020279455590186852,-0.008796726027064517,847.7766200000001,0.0
2024-08-11,847.7766200000001,44230.21,Fear,39.0,0.0007910292884490091,0.0005882347325471405,858.6705000000001,0.0
2024-08-12,858.6705000000001,54167.32,Fear,25.0,0.0009687486481732587,0.00017771935972424964,212.08102,0.0
2024-08-13,212.08102,20797.87,Fear,31.0,0.0003719556884142985,-0.0005967929597589603,2168.9015130000003,0.0
2024-08-14,2168.9015130000003,66710.03,Fear,30.0,0.0011930676292861721,0.0008211119408718737,0.0,0.0
2024-08-15,0.0,1522.3700000000001,Fear,29.0,2.7224723539724956e-05,-0.001165842905746447,825.230544,0.0
2024-08-16,825.230544,166382.84,Fear,27.0,0.00297565713218156,0.002948432408641835,-288.283113,0.0
2024-08-17,-288.283113,30248.96,Fear,25.0,0.0005409828666880881,-0.0024346742654934718,307.201888,0.0
2024-08-18,307.201888,62804.48,Fear,31.0,0.0011232191677746216,0.0005822363010865335,339.69958299999996,0.0
2024-08-19,339.69958299999996,100315.03,Fear,28.0,0.001794073262064053,0.0006708540942894313,192.602844,0.0
2024-08-20,192.602844,49914.8,Fear,30.0,0.0008926948325654446,-0.0009013784294986083,656.200925,0.0
2024-08-21,656.200925,104990.41,Fear,26.0,0.0018776896797214567,0.0009849948471560121,1005.30527,0.0
2024-08-23,1005.30527,63509.56,Fear,34.0,0.0011358291083060613,-0.0007418605714153955,0.0,0.0
2024-08-24,0.0,34999.67,Greed,56.0,0.0006259465170286388,-0.0005098825912774224,0.0,1.0
2024-08-25,0.0,21950.28,Neutral,54.0,0.0003925658625333152,-0.0002333806544953236,231.236918,0.0
2024-08-26,231.236918,92611.27,Greed,55.0,0.001656296051721279,0.0012637301891879637,0.0,1.0
